Publication Effective Date: 07/27/2017 08:59:28 AM

Ratesheet Name,Product,Rate,15 Days Lock,30 Days Lock,45 Days Lock,60 Days Lock,75 Days Lock,90 Days Lock
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.750,0.613,0.660,0.710,0.757,,1.132
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.875,0.080,0.127,0.177,0.224,,0.599
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.990,-0.369,-0.322,-0.272,-0.225,,0.150
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.000,-0.487,-0.432,-0.377,-0.319,,0.056
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.125,-0.994,-0.939,-0.884,-0.826,,-0.451
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.250,-1.666,-1.603,-1.537,-1.474,,-1.099
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.375,-2.068,-2.006,-1.939,-1.877,,-1.502
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.500,-2.485,-2.414,-2.344,-2.269,,-1.894
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.625,-2.968,-2.898,-2.827,-2.752,,-2.377
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.750,-3.489,-3.419,-3.349,-3.274,,-2.899
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.875,-3.896,-3.826,-3.755,-3.680,,-3.305
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.990,-4.224,-4.153,-4.083,-4.008,,-3.633
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.000,-4.075,-4.005,-3.935,-3.860,,-3.485
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.125,-4.306,-4.134,-3.962,-3.851,,-3.476
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.250,-4.775,-4.603,-4.431,-4.250,,-3.875
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.375,-5.144,-4.972,-4.800,-4.617,,-4.242
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.500,-5.447,-5.275,-5.103,-4.920,,-4.545
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.250,2.648,2.726,2.809,2.887,,3.262
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.375,1.786,1.864,1.947,2.025,,2.400
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.450,1.296,1.374,1.458,1.536,,1.911
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.500,0.771,0.849,0.933,1.011,,1.386
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.550,0.498,0.576,0.659,0.737,,1.112
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.625,0.069,0.147,0.230,0.309,,0.684
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.700,-0.344,-0.266,-0.183,-0.104,,0.271
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.750,-0.766,-0.688,-0.604,-0.526,,-0.151
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.800,-1.003,-0.925,-0.841,-0.763,,-0.388
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.875,-1.470,-1.377,-1.277,-1.183,,-0.808
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.950,-1.818,-1.724,-1.624,-1.531,,-1.156
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.990,-2.004,-1.910,-1.810,-1.716,,-1.341
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.000,-2.089,-1.995,-1.895,-1.801,,-1.426
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.050,-2.312,-2.218,-2.118,-2.024,,-1.649
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.125,-2.639,-2.545,-2.445,-2.351,,-1.976
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.200,-2.981,-2.887,-2.787,-2.693,,-2.318
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.250,-3.216,-3.122,-3.022,-2.939,,-2.564
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.300,-3.450,-3.356,-3.256,-3.162,,-2.787
