Publication Effective Date: 07/20/2017 09:12:17 AM

Ratesheet Name,Product,Rate,15 Days Lock,30 Days Lock,45 Days Lock,60 Days Lock,75 Days Lock,90 Days Lock
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.750,0.662,0.740,0.818,0.901,,1.276
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.875,0.076,0.154,0.232,0.315,,0.690
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.990,-0.397,-0.319,-0.241,-0.157,,0.218
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.000,-0.448,-0.369,-0.291,-0.208,,0.167
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.125,-0.908,-0.845,-0.767,-0.684,,-0.309
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.250,-1.531,-1.469,-1.406,-1.339,,-0.964
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.375,-2.008,-1.945,-1.883,-1.816,,-1.441
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.500,-2.487,-2.437,-2.374,-2.308,,-1.933
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.625,-2.951,-2.901,-2.838,-2.771,,-2.396
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.750,-3.497,-3.447,-3.385,-3.318,,-2.943
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.875,-3.918,-3.868,-3.805,-3.739,,-3.364
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.990,-4.247,-4.197,-4.134,-4.068,,-3.693
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.000,-4.150,-4.100,-4.038,-3.971,,-3.596
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.125,-4.269,-4.219,-4.157,-4.090,,-3.715
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.250,-4.759,-4.709,-4.646,-4.580,,-4.205
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.375,-5.132,-5.082,-5.019,-4.952,,-4.577
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.500,-5.434,-5.384,-5.322,-5.255,,-4.880
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.250,2.515,2.593,2.676,2.755,,3.130
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.375,1.559,1.637,1.721,1.799,,2.174
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.450,1.067,1.145,1.229,1.307,,1.682
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.500,0.690,0.768,0.851,0.930,,1.305
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.550,0.367,0.445,0.523,0.606,,0.981
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.625,-0.169,-0.091,-0.013,0.071,,0.446
