Publication Effective Date: 07/25/2017 09:02:19 AM

Ratesheet Name,Product,Rate,15 Days Lock,30 Days Lock,45 Days Lock,60 Days Lock,75 Days Lock,90 Days Lock
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.750,0.654,0.732,0.816,0.894,,1.269
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.875,0.103,0.181,0.264,0.342,,0.717
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.990,-0.369,-0.291,-0.208,-0.129,,0.246
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.000,-0.436,-0.373,-0.311,-0.244,,0.131
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.125,-0.932,-0.870,-0.807,-0.741,,-0.366
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.250,-1.506,-1.459,-1.409,-1.362,,-0.987
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.375,-1.964,-1.909,-1.859,-1.812,,-1.437
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.500,-2.477,-2.407,-2.337,-2.262,,-1.887
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.625,-2.947,-2.876,-2.806,-2.731,,-2.356
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.750,-3.469,-3.399,-3.328,-3.253,,-2.878
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.875,-3.880,-3.809,-3.739,-3.664,,-3.289
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.990,-4.207,-4.136,-4.066,-3.991,,-3.616
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.000,-4.050,-3.979,-3.909,-3.834,,-3.459
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.125,-4.212,-4.126,-4.040,-3.948,,-3.573
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.250,-4.679,-4.593,-4.507,-4.416,,-4.041
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.375,-5.050,-4.964,-4.878,-4.786,,-4.411
