Publication Effective Date: 07/24/2017 09:12:35 AM

Ratesheet Name,Product,Rate,15 Days Lock,30 Days Lock,45 Days Lock,60 Days Lock,75 Days Lock,90 Days Lock
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.750,0.553,0.623,0.698,0.769,,1.144
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.875,0.003,0.073,0.148,0.219,,0.594
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.990,-0.469,-0.398,-0.323,-0.253,,0.122
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.000,-0.536,-0.486,-0.424,-0.357,,0.018
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.125,-1.027,-0.977,-0.915,-0.848,,-0.473
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.250,-1.614,-1.554,-1.491,-1.425,,-1.050
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.375,-2.083,-2.033,-1.970,-1.903,,-1.528
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.500,-2.536,-2.486,-2.423,-2.356,,-1.981
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.625,-3.002,-2.952,-2.890,-2.823,,-2.448
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.750,-3.537,-3.487,-3.424,-3.357,,-2.982
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.875,-3.951,-3.901,-3.838,-3.772,,-3.397
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.990,-4.278,-4.228,-4.165,-4.099,,-3.724
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.000,-4.153,-4.103,-4.041,-3.974,,-3.599
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.125,-4.332,-4.250,-4.149,-4.041,,-3.666
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.250,-4.812,-4.730,-4.629,-4.521,,-4.146
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.375,-5.184,-5.102,-5.001,-4.892,,-4.517
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.500,-5.483,-5.402,-5.300,-5.192,,-4.817
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.250,2.465,2.543,2.626,2.704,,3.079
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.375,1.550,1.628,1.711,1.790,,2.165
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.450,1.059,1.137,1.220,1.298,,1.673
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.500,0.649,0.727,0.810,0.888,,1.263
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.550,0.343,0.416,0.491,0.562,,0.937
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.625,-0.179,-0.109,-0.034,0.036,,0.411
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.700,-0.644,-0.574,-0.499,-0.429,,-0.054
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.750,-0.912,-0.842,-0.767,-0.697,,-0.322
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.800,-1.184,-1.114,-1.039,-0.968,,-0.593
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.875,-1.550,-1.480,-1.405,-1.335,,-0.960
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.950,-1.928,-1.858,-1.783,-1.713,,-1.338
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.990,-2.095,-2.024,-1.949,-1.879,,-1.504
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.000,-2.137,-2.051,-1.960,-1.874,,-1.499
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.050,-2.387,-2.301,-2.210,-2.124,,-1.749
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.125,-2.780,-2.694,-2.602,-2.516,,-2.141
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.200,-3.131,-3.045,-2.953,-2.867,,-2.492
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.250,-3.356,-3.270,-3.178,-3.092,,-2.717
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.300,-3.583,-3.497,-3.405,-3.319,,-2.944
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.375,-3.923,-3.837,-3.745,-3.659,,-3.284
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.450,-4.244,-4.158,-4.066,-3.981,,-3.606
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.500,-4.324,-4.238,-4.146,-4.061,,-3.686
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.550,-4.543,-4.457,-4.365,-4.279,,-3.904
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.625,-4.881,-4.795,-4.704,-4.618,,-4.243
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.700,-5.197,-5.111,-5.019,-4.933,,-4.558
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.750,-5.398,-5.312,-5.221,-5.135,,-4.760
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.800,-5.601,-5.515,-5.423,-5.337,,-4.962
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.875,-5.899,-5.813,-5.722,-5.636,,-5.261
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.950,-6.188,-6.103,-6.011,-5.925,,-5.550
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.990,-6.298,-6.212,-6.121,-6.035,,-5.660
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.000,-6.274,-6.188,-6.096,-6.010,,-5.635
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.050,-6.360,-6.306,-6.247,-6.193,,-5.818
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.125,-6.699,-6.645,-6.586,-6.539,,-6.164
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.200,-7.055,-7.000,-6.942,-6.887,,-6.512
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.250,-7.219,-7.164,-7.106,-7.051,,-6.676
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.300,-7.388,-7.333,-7.275,-7.220,,-6.845
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.375,-7.605,-7.550,-7.492,-7.437,,-7.062
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.500,-7.899,-7.852,-7.802,-7.755,,-7.380
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),2.750,-0.112,-0.041,0.034,0.104,,0.479
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),2.875,-0.473,-0.402,-0.327,-0.257,,0.118
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),2.990,-0.784,-0.713,-0.638,-0.568,,-0.193
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.000,-0.820,-0.754,-0.691,-0.625,,-0.250
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.125,-1.199,-1.149,-1.086,-1.019,,-0.644
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.250,-1.981,-1.911,-1.836,-1.765,,-1.390
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.375,-2.282,-2.212,-2.137,-2.067,,-1.692
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.500,-2.592,-2.542,-2.480,-2.413,,-2.038
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.625,-2.978,-2.928,-2.865,-2.798,,-2.423
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.750,-3.410,-3.360,-3.298,-3.231,,-2.856
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.875,-3.775,-3.725,-3.662,-3.596,,-3.221
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.990,-4.088,-4.038,-3.976,-3.909,,-3.534
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),4.000,-3.988,-3.938,-3.876,-3.809,,-3.434
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),4.125,-4.345,-4.264,-4.162,-4.054,,-3.679
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),4.250,-4.736,-4.654,-4.553,-4.445,,-4.070
